LAT,LON,YEAR,MO,DY,QV2M,RH2M,PS,PRECTOT,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M
39.75,32.75,2015,01,01,    4.53,   93.11,   89.50,   10.26,    6.22,    2.09,    0.83,    0.84,    4.72,   -1.51,    1.84,    4.13,    1.84,    2.14,    1.73,    6.27,    3.57,    3.52,    2.56
39.75,32.75,2015,01,02,    3.25,   85.43,   89.98,    0.32,    7.22,   -1.70,   -3.52,   -3.51,    2.93,   -4.29,   -1.48,    3.30,    2.49,    2.51,    1.62,    5.81,    4.11,    4.07,    2.85
39.75,32.75,2015,01,03,    3.24,   88.15,   89.85,    0.01,    7.97,   -2.49,   -3.57,   -3.56,    3.41,   -4.57,   -1.96,    4.12,    3.57,    0.57,    0.36,    4.69,    3.94,    2.88,    2.08
39.75,32.75,2015,01,04,    3.10,   81.68,   89.31,    0.73,    6.77,   -1.54,   -4.20,   -4.18,    2.50,   -4.27,   -1.61,    5.45,    3.38,    3.01,    2.25,    8.46,    5.63,    5.77,    4.16
39.75,32.75,2015,01,05,    3.16,   80.07,   88.72,    1.78,    5.96,   -0.85,   -4.08,   -4.06,    2.51,   -3.45,   -1.17,    5.13,    4.40,    2.93,    2.06,    8.06,    6.46,    4.76,    3.46
39.75,32.75,2015,01,06,    2.80,   83.45,   87.99,    4.84,    4.30,   -3.53,   -5.64,   -5.62,   -0.84,   -5.15,   -3.44,    9.06,    6.77,    2.15,    2.05,   11.21,    8.82,    5.91,    4.61
39.75,32.75,2015,01,07,    2.12,   78.48,   89.17,    1.04,    6.74,   -6.20,   -8.95,   -8.88,   -4.10,  -10.84,   -6.14,    6.70,    5.38,    3.76,    2.93,   10.46,    8.31,    8.28,    6.36
39.75,32.75,2015,01,08,    1.27,   67.70,   90.35,    0.36,    7.25,  -11.00,  -14.26,  -14.03,   -7.09,  -14.34,  -10.60,    4.34,    4.00,    3.76,    2.76,    8.09,    6.76,    6.91,    5.30
39.75,32.75,2015,01,09,    1.23,   71.14,   90.50,    0.01,    7.78,  -12.29,  -14.59,  -14.39,   -7.07,  -14.85,  -11.63,    4.64,    3.55,    0.71,    0.60,    5.34,    4.14,    3.25,    2.51
39.75,32.75,2015,01,10,    1.93,   84.53,   89.44,    1.84,    8.40,   -8.20,  -10.43,  -10.32,   -4.90,  -13.31,   -8.30,    3.85,    3.68,    3.24,    2.20,    7.09,    5.88,    5.35,    4.21
39.75,32.75,2015,01,11,    3.21,   93.45,   89.85,    0.39,    8.15,   -3.13,   -3.85,   -3.85,    1.18,   -6.97,   -2.86,    5.25,    4.63,    2.45,    1.74,    7.70,    6.37,    5.95,    4.48
39.75,32.75,2015,01,12,    3.95,   93.57,   89.68,    3.62,    6.97,   -0.58,   -1.11,   -1.11,    3.44,   -3.53,   -0.11,    5.80,    4.62,    5.25,    3.22,   11.06,    7.84,    8.53,    6.06
39.75,32.75,2015,01,13,    3.52,   90.70,   90.14,    6.49,    7.63,   -1.66,   -2.51,   -2.50,    2.57,   -5.06,   -1.18,    4.25,    3.50,    3.84,    2.76,    8.09,    6.26,    6.16,    4.27
39.75,32.75,2015,01,14,    3.08,   85.17,   90.02,    0.00,    9.62,   -3.90,   -4.25,   -4.23,    3.78,   -5.85,   -2.16,    2.18,    1.42,    1.59,    1.11,    3.77,    2.53,    2.70,    2.00
39.75,32.75,2015,01,15,    3.61,   95.30,   89.70,    0.01,    9.11,   -2.64,   -2.30,   -2.30,    3.57,   -5.54,   -1.56,    2.89,    1.87,    1.02,    0.67,    3.91,    2.55,    2.62,    1.84
39.75,32.75,2015,01,16,    3.66,   89.16,   90.02,    0.01,    6.87,   -1.55,   -1.97,   -1.96,    4.14,   -2.73,   -0.44,    1.35,    0.89,    0.92,    0.63,    2.27,    1.51,    1.57,    1.14
39.75,32.75,2015,01,17,    3.36,   88.19,   90.49,    0.00,    7.54,   -2.13,   -3.01,   -3.00,    3.41,   -4.13,   -1.38,    2.10,    1.34,    0.63,    0.56,    2.73,    1.91,    1.79,    1.29
39.75,32.75,2015,01,18,    3.13,   86.81,   90.67,    0.00,    9.31,   -2.02,   -3.92,   -3.91,    3.90,   -5.41,   -2.10,    1.68,    1.08,    1.65,    1.36,    3.33,    2.44,    2.46,    1.88
39.75,32.75,2015,01,19,    2.96,   86.27,   90.34,    0.00,    6.32,   -2.62,   -4.64,   -4.62,    1.21,   -5.11,   -2.80,    1.55,    1.52,    2.22,    1.66,    3.77,    3.17,    2.91,    2.20
39.75,32.75,2015,01,20,    3.40,   84.44,   90.18,    0.00,   12.42,   -1.77,   -2.99,   -2.98,    6.53,   -5.89,   -0.66,    2.35,    1.04,    1.91,    1.38,    4.27,    2.42,    2.93,    1.97
39.75,32.75,2015,01,21,    4.13,   84.79,   89.99,    0.00,    8.63,    0.63,   -0.40,   -0.39,    7.85,   -0.78,    1.94,    1.62,    1.74,    2.55,    1.80,    4.18,    3.55,    3.37,    2.30
39.75,32.75,2015,01,22,    3.99,   87.48,   90.29,    0.00,    8.78,    0.44,   -0.77,   -0.76,    7.44,   -1.34,    1.07,    4.35,    2.23,    0.60,    0.49,    4.95,    2.71,    2.56,    1.79
