LAT,LON,YEAR,MO,DY,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,TS
39.75,32.75,2015,01,01,              0.40,-999,              1.55,              7.06,    2.09
39.75,32.75,2015,01,02,              0.31,-999,              1.21,              6.97,   -1.70
39.75,32.75,2015,01,03,              0.52,-999,              2.05,              6.45,   -2.49
39.75,32.75,2015,01,04,              0.59,-999,              2.34,              6.46,   -1.54
39.75,32.75,2015,01,05,              0.36,-999,              1.42,              6.81,   -0.85
39.75,32.75,2015,01,06,              0.11,-999,              0.44,              6.57,   -3.53
39.75,32.75,2015,01,07,              0.13,-999,              0.54,              5.53,   -6.20
39.75,32.75,2015,01,08,              0.27,              2.88,              1.09,              4.09,  -11.00
39.75,32.75,2015,01,09,              0.53,              2.90,              2.16,              3.94,  -12.29
39.75,32.75,2015,01,10,              0.16,-999,              0.66,              5.74,   -8.20
39.75,32.75,2015,01,11,              0.19,-999,              0.80,              6.72,   -3.13
39.75,32.75,2015,01,12,              0.14,-999,              0.59,              6.96,   -0.58
39.75,32.75,2015,01,13,              0.56,-999,              2.34,              6.33,   -1.66
39.75,32.75,2015,01,14,              0.67,              2.87,              2.86,              5.29,   -3.90
39.75,32.75,2015,01,15,              0.45,-999,              1.92,              6.56,   -2.64
39.75,32.75,2015,01,16,              0.51,-999,              2.22,              6.82,   -1.55
39.75,32.75,2015,01,17,              0.49,-999,              2.17,              6.78,   -2.13
39.75,32.75,2015,01,18,              0.30,-999,              1.33,              7.08,   -2.02
39.75,32.75,2015,01,19,              0.38,-999,              1.69,              6.63,   -2.62
39.75,32.75,2015,01,20,              0.61,-999,              2.71,              6.35,   -1.77
39.75,32.75,2015,01,21,              0.69,-999,              3.08,              6.34,    0.63
39.75,32.75,2015,01,22,              0.69,-999,              3.12,              5.93,    0.44
39.75,32.75,2015,01,23,              0.68,              3.16,              3.16,              6.07,    0.42
39.75,32.75,2015,01,24,              0.69,              3.18,              3.18,              5.87,    1.29
39.75,32.75,2015,01,25,              0.38,-999,              1.81,              6.53,    0.55
39.75,32.75,2015,01,26,              0.62,-999,              2.91,              6.55,    0.92
39.75,32.75,2015,01,27,              0.69,-999,              3.27,              6.32,    2.01
39.75,32.75,2015,01,28,              0.63,-999,              3.03,              6.72,    1.87
39.75,32.75,2015,01,29,              0.70,-999,              3.34,              6.11,    1.66
39.75,32.75,2015,01,30,              0.69,-999,              3.34,              6.44,    2.19
39.75,32.75,2015,01,31,              0.42,-999,              2.10,              6.99,    3.35
39.75,32.75,2015,02,01,              0.56,-999,              2.82,              6.95,    5.88
39.75,32.75,2015,02,02,              0.41,-999,              2.08,              6.84,    5.84
39.75,32.75,2015,02,03,              0.52,-999,              2.68,              7.10,    3.28
39.75,32.75,2015,02,04,              0.67,-999,              3.52,              6.01,    1.59
39.75,32.75,2015,02,05,              0.68,              3.55,              3.55,              6.21,    2.72
39.75,32.75,2015,02,06,              0.67,              3.64,              3.64,              5.91,    3.94
39.75,32.75,2015,02,07,              0.67,-999,              3.64,              6.04,    3.38
39.75,32.75,2015,02,08,              0.64,              3.75,              3.49,              6.31,    1.41
39.75,32.75,2015,02,09,              0.36,-999,              1.98,              6.74,    0.63
39.75,32.75,2015,02,10,              0.10,-999,              0.57,              6.86,   -0.43
39.75,32.75,2015,02,11,              0.09,-999,              0.53,              6.77,   -1.67
39.75,32.75,2015,02,12,              0.14,-999,              0.81,              6.93,   -1.37
39.75,32.75,2015,02,13,              0.30,-999,              1.72,              6.81,   -0.62
39.75,32.75,2015,02,14,              0.24,-999,              1.38,              6.79,   -0.27
39.75,32.75,2015,02,15,              0.39,-999,              2.24,              6.96,    0.36
39.75,32.75,2015,02,16,              0.12,-999,              0.73,              6.83,   -0.17
39.75,32.75,2015,02,17,              0.43,-999,              2.56,              6.12,   -3.18
39.75,32.75,2015,02,18,              0.39,-999,              2.32,              5.61,   -5.45
39.75,32.75,2015,02,19,              0.12,-999,              0.75,              6.41,   -3.60
39.75,32.75,2015,02,20,              0.23,-999,              1.39,              6.14,   -3.40
39.75,32.75,2015,02,21,              0.50,-999,              3.11,              4.63,   -5.28
39.75,32.75,2015,02,22,              0.58,              4.60,              3.65,              5.21,   -3.50
39.75,32.75,2015,02,23,              0.44,-999,              2.77,              6.80,    0.49
39.75,32.75,2015,02,24,              0.43,-999,              2.76,              7.27,    1.71
39.75,32.75,2015,02,25,              0.50,-999,              3.20,              6.84,    2.75
39.75,32.75,2015,02,26,              0.60,-999,              3.91,              6.72,    4.50
39.75,32.75,2015,02,27,              0.72,              4.76,              4.75,              6.60,    6.67
39.75,32.75,2015,02,28,              0.66,-999,              4.35,              6.92,    5.06
39.75,32.75,2015,03,01,              0.47,-999,              3.18,              6.79,    5.46
39.75,32.75,2015,03,02,              0.64,-999,              4.34,              6.14,    3.83
39.75,32.75,2015,03,03,              0.36,-999,              2.46,              6.99,    3.58
39.75,32.75,2015,03,04,              0.58,-999,              4.00,              5.89,    1.07
39.75,32.75,2015,03,05,              0.69,              4.98,              4.98,              5.36,    0.59
39.75,32.75,2015,03,06,              0.42,-999,              2.93,              7.15,    5.05
39.75,32.75,2015,03,07,              0.62,-999,              4.41,              6.64,    7.19
39.75,32.75,2015,03,08,              0.68,              5.00,              4.99,              6.48,    8.17
39.75,32.75,2015,03,09,              0.70,              5.07,              5.06,              6.43,    8.50
39.75,32.75,2015,03,10,              0.62,-999,              4.61,              7.14,   10.18
39.75,32.75,2015,03,11,              0.55,-999,              4.09,              7.41,    9.48
39.75,32.75,2015,03,12,              0.15,-999,              1.15,              7.12,    4.17
39.75,32.75,2015,03,13,              0.46,-999,              3.47,              6.73,    2.14
39.75,32.75,2015,03,14,              0.36,-999,              2.72,              6.56,    3.69
39.75,32.75,2015,03,15,              0.45,-999,              3.51,              6.89,    4.50
39.75,32.75,2015,03,16,              0.51,-999,              3.99,              6.79,    4.25
39.75,32.75,2015,03,17,              0.45,              5.56,              3.52,              6.31,    3.06
39.75,32.75,2015,03,18,              0.55,-999,              4.34,              6.44,    2.62
39.75,32.75,2015,03,19,              0.29,-999,              2.33,              6.88,    1.86
39.75,32.75,2015,03,20,               nan,-999,-999,              6.52,    2.19
39.75,32.75,2015,03,21,              0.37,-999,              3.03,              6.66,    0.21
39.75,32.75,2015,03,22,              0.63,-999,              5.29,              6.06,    3.33
39.75,32.75,2015,03,23,              0.52,-999,              4.30,              7.18,    4.45
39.75,32.75,2015,03,24,              0.52,-999,              4.35,              6.84,    5.33
39.75,32.75,2015,03,25,              0.71,              6.13,              5.95,              5.86,    4.50
39.75,32.75,2015,03,26,              0.72,-999,              6.04,              6.62,    8.12
39.75,32.75,2015,03,27,              0.17,-999,              1.43,              8.18,   11.16
39.75,32.75,2015,03,28,              0.19,-999,              1.67,              7.72,    8.94
39.75,32.75,2015,03,29,              0.48,-999,              4.12,              7.29,    8.64
39.75,32.75,2015,03,30,              0.41,-999,              3.57,              7.56,    6.94
39.75,32.75,2015,03,31,              0.32,-999,              2.85,              7.18,    5.64
39.75,32.75,2015,04,01,              0.53,-999,              4.67,              7.05,    7.83
39.75,32.75,2015,04,02,              0.12,-999,              1.09,              7.14,    6.00
39.75,32.75,2015,04,03,              0.67,              6.33,              6.09,              5.81,    2.63
39.75,32.75,2015,04,04,              0.65,-999,              5.79,              5.78,    1.96
39.75,32.75,2015,04,05,              0.45,-999,              4.12,              6.44,    3.82
39.75,32.75,2015,04,06,              0.67,              6.37,              6.22,              6.81,    8.51
39.75,32.75,2015,04,07,              0.41,-999,              3.72,              7.64,    7.78
39.75,32.75,2015,04,08,              0.36,-999,              3.41,              7.57,    6.20
39.75,32.75,2015,04,09,              0.22,-999,              2.02,              7.45,    4.88
39.75,32.75,2015,04,10,              0.33,-999,              3.09,              6.79,    0.32
39.75,32.75,2015,04,11,              0.35,-999,              3.30,              6.19,    0.91
39.75,32.75,2015,04,12,              0.56,-999,              5.35,              6.34,    3.94
39.75,32.75,2015,04,13,              0.60,-999,              5.68,              6.44,    5.66
39.75,32.75,2015,04,14,              0.68,              6.84,              6.65,              6.29,    7.91
39.75,32.75,2015,04,15,              0.54,-999,              5.10,              7.05,    7.75
39.75,32.75,2015,04,16,              0.67,              6.84,              6.59,              6.44,    8.98
39.75,32.75,2015,04,17,              0.67,              6.81,              6.74,              6.75,   11.40
39.75,32.75,2015,04,18,              0.55,              6.86,              5.35,              6.96,   12.11
39.75,32.75,2015,04,19,              0.71,              6.99,              6.92,              6.78,   11.77
39.75,32.75,2015,04,20,              0.29,-999,              2.90,              7.41,    6.93
39.75,32.75,2015,04,21,              0.46,-999,              4.64,              6.51,    4.49
39.75,32.75,2015,04,22,              0.54,-999,              5.37,              6.21,    4.10
39.75,32.75,2015,04,23,              0.46,-999,              4.62,              6.41,    2.95
39.75,32.75,2015,04,24,              0.71,              7.39,              7.35,              5.51,    4.99
39.75,32.75,2015,04,25,              0.68,-999,              7.03,              6.39,    8.77
39.75,32.75,2015,04,26,              0.31,-999,              3.14,              7.63,    9.70
39.75,32.75,2015,04,27,              0.68,-999,              7.15,              6.79,   11.10
39.75,32.75,2015,04,28,              0.61,              7.19,              6.36,              7.34,   13.97
39.75,32.75,2015,04,29,              0.62,-999,              6.53,              7.44,   14.17
39.75,32.75,2015,04,30,              0.57,-999,              5.95,              7.62,   13.17
39.75,32.75,2015,05,01,              0.44,-999,              4.66,              7.85,   10.88
39.75,32.75,2015,05,02,              0.68,              7.46,              7.32,              7.23,   13.14
39.75,32.75,2015,05,03,              0.29,-999,              3.07,              8.06,   11.91
39.75,32.75,2015,05,04,              0.65,-999,              6.93,              7.01,   11.85
39.75,32.75,2015,05,05,              0.72,              7.58,              7.55,              7.09,   14.04
39.75,32.75,2015,05,06,              0.66,              7.60,              7.07,              7.36,   14.85
39.75,32.75,2015,05,07,              0.71,              7.66,              7.63,              7.19,   15.48
39.75,32.75,2015,05,08,              0.24,-999,              2.57,              8.29,   13.96
39.75,32.75,2015,05,09,              0.62,-999,              6.77,              7.23,   14.03
39.75,32.75,2015,05,10,              0.63,-999,              6.73,              7.06,   13.34
39.75,32.75,2015,05,11,              0.64,-999,              6.93,              7.13,   13.31
39.75,32.75,2015,05,12,              0.70,              7.86,              7.58,              6.91,   13.46
39.75,32.75,2015,05,13,              0.54,-999,              5.80,              7.43,   12.09
39.75,32.75,2015,05,14,              0.61,-999,              6.66,              7.07,   13.61
39.75,32.75,2015,05,15,              0.70,              7.86,              7.83,              7.13,   15.53
39.75,32.75,2015,05,16,              0.68,              7.74,              7.74,              7.76,   17.98
39.75,32.75,2015,05,17,              0.71,              7.81,              7.77,              7.96,   20.26
39.75,32.75,2015,05,18,              0.71,              7.80,              7.73,              8.18,   21.80
39.75,32.75,2015,05,19,              0.70,              7.94,              7.82,              7.88,   21.64
39.75,32.75,2015,05,20,              0.70,              7.97,              7.92,              7.60,   21.22
39.75,32.75,2015,05,21,              0.58,              7.99,              6.63,              7.62,   18.64
39.75,32.75,2015,05,22,              0.62,-999,              7.06,              8.24,   19.03
39.75,32.75,2015,05,23,              0.64,              7.90,              7.31,              8.01,   18.91
39.75,32.75,2015,05,24,              0.63,              7.99,              7.13,              8.06,   21.26
39.75,32.75,2015,05,25,              0.64,              8.00,              7.38,              7.94,   20.35
39.75,32.75,2015,05,26,              0.68,              8.04,              7.78,              7.71,   19.30
39.75,32.75,2015,05,27,              0.07,-999,              0.85,              8.33,   18.54
39.75,32.75,2015,05,28,              0.49,-999,              5.50,              8.17,   16.35
39.75,32.75,2015,05,29,              0.14,-999,              1.55,              8.41,   13.97
39.75,32.75,2015,05,30,              0.29,-999,              3.32,              8.48,   13.98
39.75,32.75,2015,05,31,              0.43,-999,              4.93,              8.20,   16.12
39.75,32.75,2015,06,01,              0.63,-999,              7.05,              7.58,   17.29
39.75,32.75,2015,06,02,              0.65,-999,              7.38,              8.33,   19.06
39.75,32.75,2015,06,03,              0.55,-999,              6.38,              8.68,   17.33
39.75,32.75,2015,06,04,              0.39,-999,              4.50,              8.57,   14.31
39.75,32.75,2015,06,05,              0.31,-999,              3.49,              8.50,   13.67
39.75,32.75,2015,06,06,              0.24,-999,              2.74,              8.62,   14.45
39.75,32.75,2015,06,07,               nan,-999,-999,              8.31,   17.72
39.75,32.75,2015,06,08,              0.61,-999,              6.89,              8.44,   18.32
39.75,32.75,2015,06,09,              0.60,-999,              7.00,              8.16,   18.42
39.75,32.75,2015,06,10,              0.68,-999,              7.95,              7.98,   17.56
39.75,32.75,2015,06,11,              0.54,-999,              6.24,              8.49,   16.70
39.75,32.75,2015,06,12,              0.29,-999,              3.38,              8.59,   17.23
39.75,32.75,2015,06,13,              0.54,-999,              6.30,              8.80,   17.78
39.75,32.75,2015,06,14,              0.55,-999,              6.36,              8.46,   17.93
39.75,32.75,2015,06,15,              0.63,-999,              7.22,              8.12,   19.24
39.75,32.75,2015,06,16,              0.67,              8.32,              7.78,              8.26,   19.19
39.75,32.75,2015,06,17,              0.66,-999,              7.82,              8.28,   19.68
39.75,32.75,2015,06,18,              0.70,-999,              7.97,              8.33,   20.50
39.75,32.75,2015,06,19,               nan,-999,-999,              8.07,   18.03
39.75,32.75,2015,06,20,              0.53,-999,              6.16,              8.36,   18.17
39.75,32.75,2015,06,21,              0.64,-999,              7.57,              8.09,   20.00
39.75,32.75,2015,06,22,              0.62,-999,              7.12,              8.46,   20.95
39.75,32.75,2015,06,23,              0.51,-999,              5.98,              8.79,   19.75
39.75,32.75,2015,06,24,              0.60,-999,              7.03,              8.17,   17.88
